label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_7
601,0.677966102,0.694915254,0.525423729,0.491525424,0.559322034,0.322033898
601,0.677966102,0.86440678,0.610169492,0.576271186,0.440677966,0.474576271
601,0.796610169,0.847457627,0.457627119,0.576271186,0.440677966,0.474576271
601,0.661016949,0.881355932,0.627118644,0.423728814,0.389830508,0.423728814
601,0.762711864,0.86440678,0.627118644,0.423728814,0.423728814,0.491525424
601,0.762711864,0.830508475,0.474576271,0.491525424,0.355932203,0.525423729
601,0.762711864,0.86440678,0.576271186,0.457627119,0.406779661,0.525423729
601,0.796610169,0.796610169,0.474576271,0.542372881,0.372881356,0.491525424
601,0.796610169,0.86440678,0.694915254,0.593220339,0.338983051,0.559322034
601,0.813559322,0.86440678,0.694915254,0.593220339,0.338983051,0.559322034
601,0.813559322,0.830508475,0.694915254,0.576271186,0.389830508,0.491525424
601,0.745762712,0.881355932,0.661016949,0.525423729,0.440677966,0.474576271
601,0.694915254,0.847457627,0.661016949,0.525423729,0.372881356,0.508474576
601,0.813559322,0.86440678,0.661016949,0.440677966,0.423728814,0.474576271
601,0.813559322,0.86440678,0.661016949,0.406779661,0.305084746,0.491525424
601,0.644067797,0.830508475,0.440677966,0.406779661,0.389830508,0.491525424
601,0.762711864,0.830508475,0.440677966,0.508474576,0.389830508,0.474576271
601,0.762711864,0.847457627,0.508474576,0.406779661,0.322033898,0.474576271
601,0.762711864,0.881355932,0.677966102,0.406779661,0.322033898,0.474576271
601,0.796610169,0.830508475,0.677966102,0.406779661,0.322033898,0.508474576
601,0.627118644,0.796610169,0.677966102,0.525423729,0.406779661,0.508474576
601,0.711864407,0.881355932,0.661016949,0.525423729,0.372881356,0.525423729
601,0.711864407,0.86440678,0.661016949,0.525423729,0.372881356,0.508474576
601,0.830508475,0.86440678,0.627118644,0.525423729,0.372881356,0.508474576
601L,0.745762712,0.898305085,0.559322034,0.423728814,0.440677966,0.338983051
601L,0.745762712,0.915254237,0.627118644,0.508474576,0.440677966,0.406779661
601L,0.813559322,0.881355932,0.610169492,0.576271186,0.423728814,0.406779661
601L,0.830508475,0.915254237,0.559322034,0.389830508,0.406779661,0.254237288
601L,0.745762712,0.898305085,0.559322034,0.559322034,0.508474576,0.254237288
601L,0.745762712,0.949152542,0.593220339,0.474576271,0.322033898,0.355932203
601L,0.813559322,0.93220339,0.576271186,0.389830508,0.389830508,0.372881356
601L,0.762711864,0.949152542,0.610169492,0.389830508,0.305084746,0.372881356
601L,0.847457627,0.898305085,0.610169492,0.457627119,0.355932203,0.305084746
601L,0.779661017,0.93220339,0.593220339,0.576271186,0.355932203,0.389830508
601L,0.779661017,0.93220339,0.593220339,0.389830508,0.372881356,0.457627119
601L,0.694915254,0.93220339,0.593220339,0.389830508,0.372881356,0.457627119
601L,0.728813559,0.93220339,0.593220339,0.389830508,0.389830508,0.406779661
601L,0.728813559,0.915254237,0.593220339,0.423728814,0.423728814,0.322033898
601L,0.728813559,0.86440678,0.593220339,0.576271186,0.423728814,0.474576271
601L,0.796610169,0.898305085,0.559322034,0.491525424,0.288135593,0.389830508
601L,0.796610169,0.898305085,0.593220339,0.491525424,0.288135593,0.389830508
601L,0.830508475,0.898305085,0.593220339,0.508474576,0.322033898,0.389830508
601L,0.830508475,0.898305085,0.593220339,0.457627119,0.457627119,0.305084746
601L,0.830508475,0.86440678,0.593220339,0.457627119,0.423728814,0.305084746
601L,0.796610169,0.898305085,,0.491525424,0.423728814,0.389830508
601L,0.711864407,0.86440678,0.610169492,0.525423729,0.457627119,0.457627119
601L,0.711864407,0.898305085,0.627118644,0.406779661,0.186440678,0.372881356
601L,0.796610169,0.915254237,0.593220339,0.406779661,0.355932203,0.372881356
601R,0.983050847,0.711864407,0.525423729,0.627118644,0.305084746,0.389830508
601R,0.93220339,0.711864407,0.525423729,0.457627119,0.423728814,0.355932203
601R,0.881355932,0.881355932,0.474576271,0.474576271,0.271186441,0.355932203
601R,0.881355932,0.830508475,0.576271186,0.372881356,0.457627119,0.355932203
601R,0.898305085,0.830508475,0.474576271,0.457627119,0.423728814,0.491525424
601R,0.966101695,0.830508475,0.474576271,0.457627119,0.355932203,0.474576271
601R,0.949152542,0.779661017,0.508474576,0.372881356,0.457627119,0.474576271
601R,0.949152542,0.779661017,0.440677966,0.440677966,0.389830508,0.440677966
601R,0.93220339,0.779661017,0.525423729,0.389830508,0.440677966,0.457627119
601R,0.93220339,0.813559322,0.559322034,0.389830508,0.440677966,0.457627119
